Il grasso è insano, fumare è insano	Il grasso è insano, fumare è insano <hr />  Fett&nbsp;ist ungesund, rauchen ist ungesund 
Da dove vieni?	Da dove vieni? <hr />  woher kommst du? 
"Qual'è la differenza tra danke e Danke schön?"	"Qual'è la differenza tra danke e Danke schön? <hr />  Grazie / molte grazie (thank you very much) "
Come cambia la preposizione&nbsp;<u>in</u>&nbsp;in base al caso da cui è seguita?	"Come cambia la preposizione&nbsp;<u>in</u>&nbsp;in base al caso da cui è seguita? <hr />  <u>Posizione</u>&nbsp;se seguita dal <u>dativo</u><br>Du bist im (= in dem) Supermarkt<br>Ich jogge in dem Park (corro nel parco)<br><br><u>Direzione&nbsp;</u>se seguita <u>dall'accusativo</u><br>Sie geht in den Supermarkt<br>Ich jogge in den Park (corro al parco) "
Vado in bagno	Vado in bagno <hr />  ich gehe zur Toilette<br><br>zu regge sempre il dativo 
Lui arriva oggi	Lui arriva oggi <hr />  Er kömmt heute an 
Accendi la luce&nbsp;	Accendi la luce&nbsp; <hr />  mach das Licht an 
Spengo tutte le luci quando vado a letto&nbsp;	Spengo tutte le luci quando vado a letto&nbsp; <hr />  Ich mache alle Lichter aus, wenn ich ins Bett gehe 
Per poter partecipare a questo programma, il candidato deve…	Per poter partecipare a questo programma, il candidato deve… <hr />  Um bei diesem Programm mitmachen zu können, muß der Neukunde … 
Sai quando il supermercato aprirà?	Sai quando il supermercato aprirà? <hr />  Weißt du, wann der Supermarkt <strong><em>aufmacht</em></strong>? &nbsp; 
Qual’è la differenza tra i verbi formati da un prefisso + machen (eg anmachen, ausmachen, mitmachen (accendere, spegnere, partecipare) e alternative?	Qual’è la differenza tra i verbi formati da un prefisso + machen (eg anmachen, ausmachen, mitmachen (accendere, spegnere, partecipare) e alternative? <hr />  Verbi con machen sono più usati in tono informale, day to day. Sono come i phraseal verbs inglesi. 
Voglio che chiudi gli occhi&nbsp;	Voglio che chiudi gli occhi&nbsp; <hr />  Ich möchte, dass du die Augen zumachst 
Porta via il tuo mucchio di spazzatura dal mio prato inglese amorevolmente tosato.	Porta via il tuo mucchio di spazzatura dal mio prato inglese amorevolmente tosato. <hr />  Machen Sie sein Müllhaufen von meinem liebevoll gepflegten englischen Rasen weg. 
Il comico imita il politico&nbsp;	Il comico imita il politico&nbsp; <hr />  der Komiker macht den Politiker nach 
Ti piace bere il caffè?	Ti piace bere il caffè? <hr />  trinken sie gerne kaffee? 
Ti piace mangiare frutta e verdura?	Ti piace mangiare frutta e verdura? <hr />  Essen Sie gerne Obst und Gemüse? 
Perchè non si dovrebbe provare tutti i funghi?&nbsp;	Perchè non si dovrebbe provare tutti i funghi?&nbsp; <hr />  Warum soll man nicht alle Pilze probieren? 
Perchè i bambini ricevono regali a Natale?	Perchè i bambini ricevono regali a Natale? <hr />  Warum bekommen Kinder Geschenke zu Weihnachten? 
Perchè ci si dovrebbe lavare regolarmente?	Perchè ci si dovrebbe lavare regolarmente? <hr />  Warum soll man regelmäßig baden/duschen? 
É veramente bello che tu sia venuto a cercarmi!	É veramente bello che tu sia venuto a cercarmi! <hr />  Es ist wirklich schön, dass&nbsp;du mich besucht&nbsp;hast! 
gli studenti sono affamati. <br>La fame degli studenti è grande. <br>Gli studenti ringraziano gli insegnati per il cibo.	gli studenti sono affamati. <br>La fame degli studenti è grande. <br>Gli studenti ringraziano gli insegnati per il cibo. <hr />  <u>Die</u> Schüler sind hungrig (nominativ plural)<br>Der Hunger <u>der</u> Schüler ist groß (genitiv plural)<br>Die Schüler danken <u>den</u> Lehrern für das Essen (dativ plural) 
Mia nonna ha 85 anni	Mia nonna ha 85 anni <hr />  Meine Oma/Großmutter ist 85 (fünfundachtzig) 
Mi lavo i capelli	Mi lavo i capelli <hr />  Ich washe mir die Haare 
Jacopo è troppo piccolo per laversi le mani da solo, io gli lavo le mani	Jacopo è troppo piccolo per laversi le mani da solo, io gli lavo le mani <hr />  Jacopo ist zu jung, um sich (pronome riflessivo) selbst die Hände zu waschen, ich wasche <u>ihm</u> (dativ) die Hände 
